Zipcode,Lat,Long
517642,13.8038,79.7512
517520,13.6511,79.521
517102,13.5532,79.2338
517277,13.6441,78.7136
517561,13.5262,79.4029
517213,13.7784,78.9062
517194,13.7448,79.1774
517501,13.6245,79.431
517569,13.4311,79.3128
517237,13.6928,78.7816
517590,13.3175,79.5941
517505,13.5987,79.3635
517192,13.705,79.0532
517101,13.5789,79.3015
517526,13.5904,79.5716
517583,13.4406,79.5379
517305,13.8681,78.6229
517113,13.5433,79.008
517193,13.6559,79.104
517541,13.5925,79.8969
517234,13.5917,78.8156
517112,13.4809,79.1436
517152,13.4997,79.0532
517503,13.5857,79.4591
517172,13.5602,79.1323
517620,13.8649,79.5716
517235,13.7602,78.759
517644,13.7392,79.7119
517297,13.8192,78.5547
517586,13.3003,79.7288
517299,13.6627,78.6229
517584,13.39,79.5547
517502,13.6225,79.386
517506,13.133,78.6058
517646,13.5385,79.9752
517504,13.707,79.3578
534267,16.5429,81.7623
534266,16.5281,81.8334
534268,16.4974,81.7951
534250,16.5281,81.6857
534235,16.661,81.3619
534320,16.665,81.7459
534280,16.3576,81.6583
534126,16.639,81.6802
534238,16.6199,81.6419
534208,16.4916,81.5048
534202,16.5659,81.535
534330,16.7127,81.7678
534230,16.6181,81.598
534217,16.681,81.7076
534199,16.6067,81.4609
534123,16.6208,81.8115
534134,16.6766,81.598
534225,16.7018,81.6419
534243,16.5242,81.5871
534207,16.4774,81.5871
534201,16.5202,81.4883
534206,16.5609,81.4828
534124,16.6676,81.6638
534216,16.8262,81.6802
534204,16.5412,81.502
534281,16.4009,81.5706
534269,16.581,81.8388
534275,16.452,81.6802
534227,16.8097,81.7076
534239,16.444,81.4828
534237,16.5348,81.4169
534328,16.7287,81.7295
534244,16.5467,81.5651
534211,16.7512,81.7076
534326,16.6845,81.7951
534122,16.6182,81.7459
534265,16.5528,81.7185
534240,16.5965,81.6419
534236,16.504,81.3784
534222,16.7148,81.6747
534338,16.587,81.6966
534210,16.5813,81.5542
534209,16.6051,81.5651
534260,16.5069,81.7404
534218,16.7612,81.6638
534327,16.5775,81.7514
534324,16.6494,81.7951
534247,16.5615,81.6419
534245,16.5203,81.6364
534215,16.6633,81.776
534416,16.8187,81.3564
534456,17.1683,81.1858
534449,16.9932,81.1968
534427,16.7153,81.2629
534448,17.2678,81.3179
534401,16.7883,81.3289
534003,16.7353,81.0479
534426,16.9492,81.2629
534002,16.6611,81.0865
534312,17.131,81.4059
534460,17.1117,80.965
534475,16.8247,81.0865
534001,16.6943,81.1113
534425,16.8556,81.2629
534007,16.6872,81.0147
534462,16.9265,81.0092
534451,17.0438,81.2849
534004,16.6415,81.1747
534406,16.792,81.4169
534432,16.7887,81.2023
534442,16.7359,81.1968
534461,16.9855,81.0203
534006,16.7129,81.0699
534005,16.727,81.1251
534467,17.0727,81.1417
534450,16.7798,81.1306
534437,16.6012,81.0534
534447,17.1253,81.2739
534452,16.9201,81.1306
534311,17.1956,81.4114
521333,16.5517,81.2629
521390,16.3678,80.9843
521213,16.9206,80.8765
521340,16.6003,81.3069
521343,16.4686,81.2299
521312,16.5062,80.8821
521324,16.3807,81.3619
521327,16.5139,81.0589
521330,16.3799,81.0644
521215,16.8659,80.6993
521202,16.7866,80.8184
521261,16.4022,80.9042
521106,16.5629,80.9761
521345,16.5471,81.1527
521207,16.831,80.965
521105,16.6381,80.985
521263,16.4503,80.9374
521111,16.6991,80.8876
521260,16.4627,80.8212
521214,17.0142,80.8765
521329,16.3855,81.1968
521325,16.4275,81.0865
521148,16.4036,80.9374
521322,16.3817,80.9705
521323,16.4434,81.0479
521321,16.5414,81.0203
521201,16.7804,80.8765
521301,16.4014,81.0203
521326,16.5227,81.1075
521311,16.4899,80.9097
521344,16.4844,81.3289
524342,14.4163,79.5941
524129,13.8295,79.8185
524121,13.6876,79.9864
524405,14.2782,79.8521
524131,14.0429,79.7176
524345,14.4122,79.7624
524132,13.9016,79.6278
524404,13.9932,79.6278
524407,14.2236,79.7146
524123,13.7828,80.0758
524321,14.2719,79.9752
524126,13.869,79.9417
524127,13.9185,80.0311
524402,14.0028,79.8521
524421,13.9202,79.7961
524410,14.0634,79.9305
524415,13.9781,80.087
524412,14.1479,80.0311
524309,14.5023,79.7176
524414,14.3065,79.4479
524343,14.4902,79.4479
524403,13.8781,80.1652
524134,14.0791,79.4929
524341,14.4963,79.5828
524320,14.3601,79.8857
524406,14.1485,79.7736
524408,14.2029,79.5353
524409,14.3183,79.7176
524323,14.2398,80.0311
524413,14.0203,79.9976
524101,14.1285,79.8409
524401,13.5557,80.1205
524411,14.0708,80.1094
524124,13.6966,80.2098
522237,16.5401,80.466
522004,16.3068,80.3965
522015,16.1148,80.3325
522007,16.3194,80.4303
522020,16.5583,80.3547
522236,16.4468,80.466
522017,16.2341,80.3993
522235,16.0571,80.3436
522005,16.302,80.3547
522112,16.049,80.4215
522503,16.4499,80.5327
